=== LOG START ===
GLOBAL | Product_7 vs Product_6 | Winner: Product_7 | 1000.0→1016.0 , 1000.0→984.0
GLOBAL | Product_8 vs Product_6 | Winner: Product_8 | 956.130386850617→976.7985869009786 , 1060.5318898752585→1039.863689824897
USER User_2 | 8 vs 6 | Winner: 8 | 941.0274971120891→962.1240329249596 , 1055.686155408979→1034.5896195961086
GLOBAL | Product_6 vs Product_2 | Winner: Product_2 | 1039.863689824897→1020.5353213353262 , 966.5186252174989→985.8469937070696
USER User_2 | 6 vs 2 | Winner: 2 | 1034.5896195961086→1016.237880555165 , 983.1496566975313→1001.5013957384749
GLOBAL | Product_7 vs Product_4 | Winner: Product_4 | 1003.0292992867131→987.7758141157066 , 1019.2514409566168→1034.5049261276233
USER User_2 | 7 vs 4 | Winner: 4 | 994.9661023759056→980.5457593159001 , 1029.3800237211826→1043.8003667811881
GLOBAL | Product_7 vs Product_3 | Winner: Product_3 | 987.7758141157066→971.6785506014813 , 985.6637377230576→1001.7610012372828
USER User_2 | 7 vs 3 | Winner: 3 | 980.5457593159001→965.911421180365 , 1010.2730612934226→1024.907399428958
GLOBAL | Product_3 vs Product_8 | Winner: Product_3 | 1001.7610012372828→1016.6134135411521 , 976.7985869009786→961.9461745971093
USER User_2 | 3 vs 8 | Winner: 3 | 1024.907399428958→1038.0471837843036 , 962.1240329249596→948.984248569614
GLOBAL | Product_2 vs Product_7 | Winner: Product_7 | 985.8469937070696→969.1948742436794 , 971.6785506014813→988.3306700648716
USER User_2 | 2 vs 7 | Winner: 7 | 1001.5013957384749→983.8681255764125 , 965.911421180365→983.5446913424274
GLOBAL | Product_4 vs Product_3 | Winner: Product_4 | 1034.5049261276233→1049.6817190636868 , 1016.6134135411521→1001.4366206050886
USER User_2 | 4 vs 3 | Winner: 4 | 1043.8003667811881→1059.5354471263024 , 1038.0471837843036→1022.3121034391892
GLOBAL | Product_5 vs Product_8 | Winner: Product_5 | 1003.5767872857483→1017.6687495061727 , 961.9461745971093→947.8542123766849
USER User_2 | 5 vs 8 | Winner: 5 | 1014.4836278831168→1027.5025036615818 , 948.984248569614→935.965372791149
GLOBAL | Product_5 vs Product_8 | Winner: Product_5 | 1017.6687495061727→1030.4962562359706 , 947.8542123766849→935.026705646887
USER User_2 | 5 vs 8 | Winner: 5 | 1027.5025036615818→1039.3819654765543 , 935.965372791149→924.0859109761764
GLOBAL | Product_5 vs Product_4 | Winner: Product_5 | 1030.4962562359706→1047.3788825103622 , 1049.6817190636868→1032.7990927892952
USER User_2 | 5 vs 4 | Winner: 5 | 1039.3819654765543→1056.309028063089 , 1059.5354471263024→1042.6083845397677
GLOBAL | Product_5 vs Product_6 | Winner: Product_5 | 1047.3788825103622→1062.1451447548184 , 1020.5353213353262→1005.7690590908701
USER User_2 | 5 vs 6 | Winner: 5 | 1056.309028063089→1070.4718224426108 , 1016.237880555165→1002.0750861756433
GLOBAL | Product_2 vs Product_5 | Winner: Product_5 | 969.1948742436794→957.376109828832 , 1062.1451447548184→1073.9639091696658
USER User_2 | 2 vs 5 | Winner: 5 | 983.8681255764125→971.775774784945 , 1070.4718224426108→1082.5641732340782
GLOBAL | Product_8 vs Product_5 | Winner: Product_8 | 935.026705646887→957.10442984071 , 1073.9639091696658→1051.8861849758428
USER User_2 | 8 vs 5 | Winner: 8 | 924.0859109761764→946.916800930145 , 1082.5641732340782→1059.7332832801096
GLOBAL | Product_4 vs Product_6 | Winner: Product_6 | 1032.7990927892952→1015.5568190690715 , 1005.7690590908701→1023.0113328110938
USER User_2 | 4 vs 6 | Winner: 6 | 1042.6083845397677→1024.7501799167842 , 1002.0750861756433→1019.9332907986269
GLOBAL | Product_6 vs Product_3 | Winner: Product_6 | 1023.0113328110938→1038.0190556889036 , 1001.4366206050886→986.4288977272787
USER User_2 | 6 vs 3 | Winner: 6 | 1019.9332907986269→1036.0428374573487 , 1022.3121034391892→1006.2025567804673
GLOBAL | Product_6 vs Product_5 | Winner: Product_5 | 1038.0190556889036→1022.6573217023804 , 1051.8861849758428→1067.247918962366
USER User_2 | 6 vs 5 | Winner: 5 | 1036.0428374573487→1021.1321351310851 , 1059.7332832801096→1074.6439856063732
GLOBAL | Product_8 vs Product_2 | Winner: Product_8 | 957.10442984071→973.1169411639743 , 957.376109828832→941.3635985055678
USER User_2 | 8 vs 2 | Winner: 8 | 946.916800930145→964.0596494207507 , 971.775774784945→954.6329262943393
GLOBAL | Product_5 vs Product_7 | Winner: Product_7 | 1067.247918962366→1047.6748835298351 , 988.3306700648716→1007.9037054974024
USER User_2 | 5 vs 7 | Winner: 7 | 1074.6439856063732→1054.5422793537687 , 983.5446913424274→1003.6463975950319
GLOBAL | Product_6 vs Product_4 | Winner: Product_4 | 1022.6573217023804→1006.3303769887343 , 1015.5568190690715→1031.8837637827176
USER User_2 | 6 vs 4 | Winner: 4 | 1021.1321351310851→1005.298746228344 , 1024.7501799167842→1040.5835688195252
GLOBAL | Product_7 vs Product_5 | Winner: Product_7 | 1007.9037054974024→1025.7272778018914 , 1047.6748835298351→1029.851311225346
USER User_2 | 7 vs 5 | Winner: 7 | 1003.6463975950319→1021.9736164616361 , 1054.5422793537687→1036.2150604871645
GLOBAL | Product_5 vs Product_1 | Winner: Product_1 | 1029.851311225346→1012.7224604175045 , 1005.29783280449→1022.4266836123315
USER User_2 | 5 vs 1 | Winner: 1 | 1036.2150604871645→1017.2480833703473 , 971.0338755077726→990.0008526245897
GLOBAL | Product_2 vs Product_8 | Winner: Product_8 | 941.3635985055678→926.8218361280349 , 973.1169411639743→987.6587035415072
USER User_2 | 2 vs 8 | Winner: 8 | 954.6329262943393→939.0669364420261 , 964.0596494207507→979.6256392730639
GLOBAL | Product_7 vs Product_8 | Winner: Product_7 | 1025.7272778018914→1039.9811374165206 , 987.6587035415072→973.4048439268779
USER User_2 | 7 vs 8 | Winner: 7 | 1021.9736164616361→1036.0330206959097 , 979.6256392730639→965.5662350387904
GLOBAL | Product_3 vs Product_4 | Winner: Product_4 | 986.4288977272787→972.5103097758672 , 1031.8837637827176→1045.802351734129
USER User_2 | 3 vs 4 | Winner: 4 | 1006.2025567804673→991.7807129492373 , 1040.5835688195252→1055.005412650755
GLOBAL | Product_8 vs Product_1 | Winner: Product_1 | 973.4048439268779→959.6475202850093 , 1022.4266836123315→1036.1840072542002
USER User_2 | 8 vs 1 | Winner: 1 | 965.5662350387904→950.689639218572 , 990.0008526245897→1004.8774484448081
GLOBAL | Product_8 vs Product_6 | Winner: Product_8 | 959.6475202850093→977.7845006007846 , 1006.3303769887343→988.193396672959
USER User_3 | 8 vs 6 | Winner: 8 | 1000.0→1016.0 , 1000.0→984.0
GLOBAL | Product_5 vs Product_6 | Winner: Product_6 | 1012.7224604175045→995.594728355931 , 988.193396672959→1005.3211287345325
USER User_3 | 5 vs 6 | Winner: 6 | 1000.0→983.263693206478 , 984.0→1000.736306793522
GLOBAL | Product_3 vs Product_2 | Winner: Product_2 | 972.5103097758672→954.4183226842512 , 926.8218361280349→944.9138232196509
USER User_3 | 3 vs 2 | Winner: 2 | 1000.0→984.0 , 1000.0→1016.0
GLOBAL | Product_6 vs Product_5 | Winner: Product_5 | 1005.3211287345325→988.8733284199584 , 995.594728355931→1012.0425286705051
USER User_3 | 6 vs 5 | Winner: 5 | 1000.736306793522→983.9323408595197 , 983.263693206478→1000.0676591404803
GLOBAL | Product_3 vs Product_4 | Winner: Product_4 | 954.4183226842512→942.532277144104 , 1045.802351734129→1057.688397274276
USER User_3 | 3 vs 4 | Winner: 4 | 984.0→968.736306793522 , 1000.0→1015.263693206478
GLOBAL | Product_2 vs Product_3 | Winner: Product_2 | 944.9138232196509→960.8041506875037 , 942.532277144104→926.6419496762512
USER User_3 | 2 vs 3 | Winner: 2 | 1016.0→1029.8367542202345 , 968.736306793522→954.8995525732875
GLOBAL | Product_7 vs Product_2 | Winner: Product_2 | 1039.9811374165206→1020.396739020981 , 960.8041506875037→980.3885490830432
USER User_3 | 7 vs 2 | Winner: 2 | 1000.0→985.3706654706168 , 1029.8367542202345→1044.4660887496177
GLOBAL | Product_6 vs Product_7 | Winner: Product_6 | 988.8733284199584→1006.3210646032628 , 1020.396739020981→1002.9490028376766
USER User_3 | 6 vs 7 | Winner: 6 | 983.9323408595197→999.9985777772943 , 985.3706654706168→969.3044285528423
GLOBAL | Product_4 vs Product_1 | Winner: Product_4 | 1057.688397274276→1072.699346193295 , 1036.1840072542002→1021.1730583351813
USER User_3 | 4 vs 1 | Winner: 4 | 1015.263693206478→1030.5612260339533 , 1000.0→984.7024671725246
GLOBAL | Product_6 vs Product_8 | Winner: Product_8 | 1006.3210646032628→989.0098544722107 , 977.7845006007846→995.0957107318367
USER User_3 | 6 vs 8 | Winner: 8 | 999.9985777772943→984.7349499278754 , 1016.0→1031.263627849419
GLOBAL | Product_8 vs Product_6 | Winner: Product_8 | 995.0957107318367→1010.81547535456 , 989.0098544722107→973.2900898494873
USER User_3 | 8 vs 6 | Winner: 8 | 1031.263627849419→1045.1336214842033 , 984.7349499278754→970.8649562930909
GLOBAL | Product_4 vs Product_3 | Winner: Product_4 | 1072.699346193295→1082.3432439260703 , 926.6419496762512→916.998051943476
USER User_3 | 4 vs 3 | Winner: 4 | 1030.5612260339533→1043.1309332372157 , 954.8995525732875→942.3298453700252
GLOBAL | Product_6 vs Product_8 | Winner: Product_8 | 973.2900898494873→959.0115092008175 , 1010.81547535456→1025.0940560032298
USER User_3 | 6 vs 8 | Winner: 8 | 970.8649562930909→958.2339950035234 , 1045.1336214842033→1057.7645827737708
GLOBAL | Product_2 vs Product_5 | Winner: Product_5 | 980.3885490830432→965.8422487579099 , 1012.0425286705051→1026.5888289956383
USER User_3 | 2 vs 5 | Winner: 5 | 1044.4660887496177→1026.4325228621578 , 1000.0676591404803→1018.1012250279401
GLOBAL | Product_6 vs Product_7 | Winner: Product_7 | 959.0115092008175→945.0241875888614 , 1002.9490028376766→1016.9363244496327
USER User_3 | 6 vs 7 | Winner: 7 | 958.2339950035234→942.7436348468084 , 969.3044285528423→984.7947887095573
GLOBAL | Product_5 vs Product_3 | Winner: Product_3 | 1026.5888289956383→1005.7029615932986 , 916.998051943476→937.8839193458157
USER User_3 | 5 vs 3 | Winner: 3 | 1018.1012250279401→998.6661126203556 , 942.3298453700252→961.7649577776097
GLOBAL | Product_2 vs Product_1 | Winner: Product_2 | 965.8422487579099→984.3690014714189 , 1021.1730583351813→1002.6463056216724
USER User_3 | 2 vs 1 | Winner: 2 | 1026.4325228621578→1040.519970843275 , 984.7024671725246→970.6150191914077
GLOBAL | Product_1 vs Product_6 | Winner: Product_6 | 1002.6463056216724→984.0167743553953 , 945.0241875888614→963.6537188551384
USER User_3 | 1 vs 6 | Winner: 6 | 970.6150191914077→953.3342407270823 , 942.7436348468084→960.0244133111338
GLOBAL | Product_6 vs Product_8 | Winner: Product_6 | 963.6537188551384→982.4540210728226 , 1025.0940560032298→1006.2937537855456
USER User_3 | 6 vs 8 | Winner: 6 | 960.0244133111338→980.4104171524807 , 1057.7645827737708→1037.3785789324238
GLOBAL | Product_3 vs Product_2 | Winner: Product_3 | 937.8839193458157→956.0119535980086 , 984.3690014714189→966.2409672192259
USER User_3 | 3 vs 2 | Winner: 3 | 961.7649577776097→981.3308938207185 , 1040.519970843275→1020.954034800166
GLOBAL | Product_5 vs Product_6 | Winner: Product_5 | 1005.7029615932986→1020.6339034903365 , 982.4540210728226→967.5230791757847
USER User_3 | 5 vs 6 | Winner: 5 | 998.6661126203556→1013.8261796190632 , 980.4104171524807→965.2503501537732
GLOBAL | Product_5 vs Product_6 | Winner: Product_6 | 1020.6339034903365→1002.2069345522366 , 967.5230791757847→985.9500481138846
USER User_3 | 5 vs 6 | Winner: 6 | 1013.8261796190632→995.6036428660351 , 965.2503501537732→983.4728869068013
GLOBAL | Product_7 vs Product_8 | Winner: Product_8 | 1016.9363244496327→1000.4463691914534 , 1006.2937537855456→1022.7837090437249
USER User_3 | 7 vs 8 | Winner: 8 | 984.7947887095573→971.1980398269194 , 1037.3785789324238→1050.9753278150617
GLOBAL | Product_3 vs Product_5 | Winner: Product_3 | 956.0119535980086→974.1268630695437 , 1002.2069345522366→984.0920250807015
USER User_3 | 3 vs 5 | Winner: 3 | 981.3308938207185→997.9878087119472 , 995.6036428660351→978.9467279748064
GLOBAL | Product_8 vs Product_7 | Winner: Product_7 | 1022.7837090437249→1005.7564515164479 , 1000.4463691914534→1017.4736267187304
USER User_3 | 8 vs 7 | Winner: 7 | 1050.9753278150617→1031.3646821292389 , 971.1980398269194→990.8086855127423
GLOBAL | Product_7 vs Product_3 | Winner: Product_7 | 1017.4736267187304→1031.4877276830996 , 974.1268630695437→960.1127621051745
USER User_3 | 7 vs 3 | Winner: 7 | 990.8086855127423→1007.139249308666 , 997.9878087119472→981.6572449160235
GLOBAL | Product_8 vs Product_6 | Winner: Product_8 | 1005.7564515164479→1020.8453197306103 , 985.9500481138846→970.8611798997222
USER User_3 | 8 vs 6 | Winner: 8 | 1031.3646821292389→1045.1730468993137 , 983.4728869068013→969.6645221367263
GLOBAL | Product_7 vs Product_4 | Winner: Product_4 | 1031.4877276830996→1017.8131269452533 , 1082.3432439260703→1096.0178446639165
USER User_3 | 7 vs 4 | Winner: 4 | 1007.139249308666→992.7908239348751 , 1043.1309332372157→1057.4793586110065
GLOBAL | Product_6 vs Product_1 | Winner: Product_1 | 970.8611798997222→955.4667280402087 , 984.0167743553953→999.4112262149088
USER User_3 | 6 vs 1 | Winner: 1 | 969.6645221367263→952.9130382019658 , 953.3342407270823→970.0857246618427
GLOBAL | Product_4 vs Product_7 | Winner: Product_4 | 1096.0178446639165→1108.4760003657166 , 1017.8131269452533→1005.3549712434534
USER User_3 | 4 vs 7 | Winner: 4 | 1057.4793586110065→1070.534294485642 , 992.7908239348751→979.7358880602396
GLOBAL | Product_7 vs Product_3 | Winner: Product_7 | 1005.3549712434534→1019.2831874431604 , 960.1127621051745→946.1845459054676
USER User_3 | 7 vs 3 | Winner: 7 | 979.7358880602396→995.8243689113534 , 981.6572449160235→965.5687640649097
GLOBAL | Product_6 vs Product_7 | Winner: Product_7 | 955.4667280402087→942.3729744210007 , 1019.2831874431604→1032.3769410623684
USER User_3 | 6 vs 7 | Winner: 7 | 952.9130382019658→938.8791906649908 , 995.8243689113534→1009.8582164483284
GLOBAL | Product_5 vs Product_6 | Winner: Product_6 | 984.0920250807015→966.1799726226518 , 942.3729744210007→960.2850268790504
USER User_3 | 5 vs 6 | Winner: 6 | 978.9467279748064→961.1096864182316 , 938.8791906649908→956.7162322215656
GLOBAL | Product_8 vs Product_6 | Winner: Product_8 | 1020.8453197306103→1034.0843209665768 , 960.2850268790504→947.0460256430838
USER User_3 | 8 vs 6 | Winner: 8 | 1045.1730468993137→1057.1852538794153 , 956.7162322215656→944.7040252414639
GLOBAL | Product_2 vs Product_4 | Winner: Product_4 | 966.2409672192259→956.4481776083398 , 1108.4760003657166→1118.2687899766026
USER User_3 | 2 vs 4 | Winner: 4 | 1020.954034800166→1007.2219164070486 , 1070.534294485642→1084.2664128787594
GLOBAL | Product_6 vs Product_5 | Winner: Product_5 | 947.0460256430838→931.9262867250532 , 966.1799726226518→981.2997115406824
USER User_3 | 6 vs 5 | Winner: 5 | 944.7040252414639→929.4589728497091 , 961.1096864182316→976.3547388099864
GLOBAL | Product_4 vs Product_5 | Winner: Product_5 | 1118.2687899766026→1096.2687897349124 , 981.2997115406824→1003.2997117823726
USER User_3 | 4 vs 5 | Winner: 5 | 1084.2664128787594→1063.4507635899495 , 976.3547388099864→997.1703880987965
GLOBAL | Product_3 vs Product_7 | Winner: Product_7 | 946.1845459054676→934.0743786165644 , 1032.3769410623684→1044.4871083512714
USER User_3 | 3 vs 7 | Winner: 7 | 965.5687640649097→951.597392238565 , 1009.8582164483284→1023.8295882746731
GLOBAL | Product_2 vs Product_8 | Winner: Product_8 | 956.4481776083398→943.9651121626388 , 1034.0843209665768→1046.5673864122778
USER User_3 | 2 vs 8 | Winner: 8 | 1007.2219164070486→993.5070822572914 , 1057.1852538794153→1070.9000880291726
GLOBAL | Product_4 vs Product_1 | Winner: Product_1 | 1096.2687897349124→1075.9204032218563 , 999.4112262149088→1019.7596127279647
USER User_3 | 4 vs 1 | Winner: 1 | 1063.4507635899495→1043.2517372016932 , 970.0857246618427→990.2847510500989
GLOBAL | Product_4 vs Product_8 | Winner: Product_4 | 1075.9204032218563→1090.5718538206804 , 1046.5673864122778→1031.9159358134536
USER User_3 | 4 vs 8 | Winner: 4 | 1043.2517372016932→1060.5223098847935 , 1070.9000880291726→1053.6295153460724
GLOBAL | Product_6 vs Product_2 | Winner: Product_6 | 931.9262867250532→948.4804733462364 , 943.9651121626388→927.4109255414555
USER User_3 | 6 vs 2 | Winner: 6 | 929.4589728497091→948.3755338889753 , 993.5070822572914→974.5905212180252
GLOBAL | Product_8 vs Product_5 | Winner: Product_5 | 1031.9159358134536→1014.6010819082104 , 1003.2997117823726→1020.6145656876158
USER User_3 | 8 vs 5 | Winner: 5 | 1053.6295153460724→1035.0521237058294 , 997.1703880987965→1015.7477797390394
GLOBAL | Product_3 vs Product_7 | Winner: Product_3 | 934.0743786165644→954.9945438126198 , 1044.4871083512714→1023.5669431552161
USER User_3 | 3 vs 7 | Winner: 3 | 951.597392238565→970.8766964609563 , 1023.8295882746731→1004.5502840522819
GLOBAL | Product_8 vs Product_2 | Winner: Product_2 | 1014.6010819082104→994.6680466544622 , 927.4109255414555→947.3439607952038
USER User_3 | 8 vs 2 | Winner: 2 | 1035.0521237058294→1016.2955346811758 , 974.5905212180252→993.3471102426788
GLOBAL | Product_4 vs Product_8 | Winner: Product_8 | 1090.5718538206804→1070.264175540312 , 994.6680466544622→1014.9757249348307
USER User_3 | 4 vs 8 | Winner: 8 | 1060.5223098847935→1042.4965217666413 , 1016.2955346811758→1034.3213227993278
GLOBAL | Product_8 vs Product_2 | Winner: Product_8 | 1014.9757249348307→1027.8999192588235 , 947.3439607952038→934.4197664712109
USER User_3 | 8 vs 2 | Winner: 8 | 1034.3213227993278→1048.443090161504 , 993.3471102426788→979.2253428805028
GLOBAL | Product_5 vs Product_8 | Winner: Product_8 | 1020.6145656876158→1004.9500194537513 , 1027.8999192588235→1043.564465492688
USER User_3 | 5 vs 8 | Winner: 8 | 1015.7477797390394→1001.2490255192225 , 1048.443090161504→1062.9418443813208
GLOBAL | Product_8 vs Product_1 | Winner: Product_8 | 1043.564465492688→1058.4699237226378 , 1019.7596127279647→1004.854154498015
USER User_3 | 8 vs 1 | Winner: 8 | 1062.9418443813208→1075.6437995866581 , 990.2847510500989→977.5827958447614
GLOBAL | Product_8 vs Product_4 | Winner: Product_8 | 1058.4699237226378→1075.0128605522002 , 1070.264175540312→1053.7212387107495
USER User_3 | 8 vs 4 | Winner: 8 | 1075.6437995866581→1090.1219257064568 , 1042.4965217666413→1028.0183956468427
GLOBAL | Product_7 vs Product_2 | Winner: Product_7 | 1023.5669431552161→1035.5493475010119 , 934.4197664712109→922.437362125415
USER User_3 | 7 vs 2 | Winner: 7 | 1004.5502840522819→1019.3860885124246 , 979.2253428805028→964.38953842036
GLOBAL | Product_2 vs Product_5 | Winner: Product_2 | 922.437362125415→942.1673468100523 , 1004.9500194537513→985.220034769114
USER User_3 | 2 vs 5 | Winner: 2 | 964.38953842036→982.0806407686506 , 1001.2490255192225→983.557923170932
GLOBAL | Product_2 vs Product_3 | Winner: Product_3 | 942.1673468100523→926.7577928154016 , 954.9945438126198→970.4040978072705
USER User_3 | 2 vs 3 | Winner: 3 | 982.0806407686506→965.5648588412563 , 970.8766964609563→987.3924783883506
GLOBAL | Product_3 vs Product_5 | Winner: Product_5 | 970.4040978072705→955.0859836361352 , 985.220034769114→1000.5381489402494
USER User_3 | 3 vs 5 | Winner: 5 | 987.3924783883506→971.2158977643909 , 983.557923170932→999.7345037948917
GLOBAL | Product_8 vs Product_1 | Winner: Product_8 | 1075.0128605522002→1087.8251438425937 , 1004.854154498015→992.0418712076214
USER User_3 | 8 vs 1 | Winner: 8 | 1090.1219257064568→1101.1132638062265 , 977.5827958447614→966.5914577449918
GLOBAL | Product_3 vs Product_8 | Winner: Product_3 | 955.0859836361352→976.9178225510711 , 1087.8251438425937→1065.9933049276578
USER User_3 | 3 vs 8 | Winner: 3 | 971.2158977643909→992.9339168185786 , 1101.1132638062265→1079.395244752039
GLOBAL | Product_3 vs Product_8 | Winner: Product_8 | 976.9178225510711→964.9323245724056 , 1065.9933049276578→1077.9788029063234
USER User_3 | 3 vs 8 | Winner: 8 | 992.9339168185786→980.835400146573 , 1079.395244752039→1091.4937614240446
GLOBAL | Product_7 vs Product_2 | Winner: Product_2 | 1035.5493475010119→1014.6968769750647 , 926.7577928154016→947.6102633413487
USER User_3 | 7 vs 2 | Winner: 2 | 1019.3860885124246→1000.9271668854043 , 965.5648588412563→984.0237804682766
GLOBAL | Product_8 vs Product_1 | Winner: Product_8 | 1077.9788029063234→1090.100041360679 , 992.0418712076214→979.9206327532659
USER User_3 | 8 vs 1 | Winner: 8 | 1091.4937614240446→1101.9774167405399 , 966.5914577449918→956.1078024284964
GLOBAL | Product_2 vs Product_8 | Winner: Product_8 | 947.6102633413487→937.8274366817383 , 1090.100041360679→1099.8828680202894
USER User_3 | 2 vs 8 | Winner: 8 | 984.0237804682766→973.2562449079495 , 1101.9774167405399→1112.744952300867
GLOBAL | Product_1 vs Product_7 | Winner: Product_1 | 979.9206327532659→997.516810931472 , 1014.6968769750647→997.1006987968585
USER User_3 | 1 vs 7 | Winner: 1 | 956.1078024284964→974.1604369974906 , 1000.9271668854043→982.8745323164101
GLOBAL | Product_8 vs Product_6 | Winner: Product_8 | 1099.8828680202894→1109.3207398529698 , 948.4804733462364→939.0426015135561
USER User_3 | 8 vs 6 | Winner: 8 | 1112.744952300867→1121.6938293487456 , 948.3755338889753→939.4266568410967
GLOBAL | Product_3 vs Product_8 | Winner: Product_8 | 964.9323245724056→955.2235735412465 , 1109.3207398529698→1119.0294908841288
USER User_3 | 3 vs 8 | Winner: 8 | 980.835400146573→970.9886742587192 , 1121.6938293487456→1131.5405552365994
GLOBAL | Product_4 vs Product_6 | Winner: Product_4 | 1053.7212387107495→1064.623876203486 , 939.0426015135561→928.1399640208195
USER User_3 | 4 vs 6 | Winner: 4 | 1028.0183956468427→1040.024775681735 , 939.4266568410967→927.4202768062045
GLOBAL | Product_3 vs Product_6 | Winner: Product_3 | 955.2235735412465→969.9788474659841 , 928.1399640208195→913.384690096082
USER User_3 | 3 vs 6 | Winner: 3 | 970.9886742587192→984.9927266437049 , 927.4202768062045→913.4162244212188
GLOBAL | Product_5 vs Product_4 | Winner: Product_4 | 1000.5381489402494→987.4563847499302 , 1064.623876203486→1077.705640393805
USER User_4 | 5 vs 4 | Winner: 4 | 1000.0→984.0 , 1000.0→1016.0
GLOBAL | Product_5 vs Product_6 | Winner: Product_6 | 987.4563847499302→968.0960157233384 , 913.384690096082→932.7450591226738
USER User_4 | 5 vs 6 | Winner: 6 | 984.0→968.736306793522 , 1000.0→1015.263693206478
GLOBAL | Product_1 vs Product_4 | Winner: Product_4 | 997.516810931472→985.1454388502066 , 1077.705640393805→1090.0770124750704
USER User_4 | 1 vs 4 | Winner: 4 | 1000.0→984.736306793522 , 1016.0→1031.263693206478
GLOBAL | Product_7 vs Product_3 | Winner: Product_3 | 997.1006987968585→979.8542222945317 , 969.9788474659841→987.2253239683109
USER User_4 | 7 vs 3 | Winner: 3 | 1000.0→984.0 , 1000.0→1016.0
GLOBAL | Product_6 vs Product_4 | Winner: Product_4 | 932.7450591226738→923.5327207915096 , 1090.0770124750704→1099.2893508062346
USER User_4 | 6 vs 4 | Winner: 4 | 1015.263693206478→1000.0 , 1031.263693206478→1046.5273864129558
GLOBAL | Product_3 vs Product_5 | Winner: Product_5 | 987.2253239683109→970.3452758615316 , 968.0960157233384→984.9760638301177
USER User_4 | 3 vs 5 | Winner: 5 | 1016.0→997.8367542202345 , 968.736306793522→986.8995525732875
GLOBAL | Product_5 vs Product_6 | Winner: Product_5 | 984.9760638301177→998.1756274264857 , 923.5327207915096→910.3331571951417
USER User_4 | 5 vs 6 | Winner: 5 | 986.8995525732875→1003.5025647217107 , 1000.0→983.3969878515768
GLOBAL | Product_3 vs Product_6 | Winner: Product_6 | 970.3452758615316→951.608776380519 , 910.3331571951417→929.0696566761543
USER User_4 | 3 vs 6 | Winner: 6 | 997.8367542202345→981.1721610145486 , 983.3969878515768→1000.0615810572627
GLOBAL | Product_2 vs Product_3 | Winner: Product_2 | 937.8274366817383→954.4617581869088 , 951.608776380519→934.9744548753484
USER User_4 | 2 vs 3 | Winner: 2 | 1000.0→1015.1337937216331 , 981.1721610145486→966.0383672929155
GLOBAL | Product_1 vs Product_3 | Winner: Product_1 | 985.1454388502066→998.8509063846853 , 934.9744548753484→921.2689873408697
USER User_4 | 1 vs 3 | Winner: 1 | 984.736306793522→999.8760651949741 , 966.0383672929155→950.8986088914634
GLOBAL | Product_6 vs Product_8 | Winner: Product_8 | 929.0696566761543→921.0389239449354 , 1119.0294908841288→1127.0602236153477
USER User_4 | 6 vs 8 | Winner: 8 | 1000.0615810572627→984.0587451448032 , 1000.0→1016.0028359124595
GLOBAL | Product_5 vs Product_8 | Winner: Product_8 | 998.1756274264857→987.8529211219809 , 1127.0602236153477→1137.3829299198526
USER User_4 | 5 vs 8 | Winner: 8 | 1003.5025647217107→988.0779752222826 , 1016.0028359124595→1031.4274254118875
GLOBAL | Product_8 vs Product_7 | Winner: Product_8 | 1137.3829299198526→1146.587839853022 , 979.8542222945317→970.6493123613624
USER User_4 | 8 vs 7 | Winner: 8 | 1031.4274254118875→1045.2567777900513 , 984.0→970.1706476218362
GLOBAL | Product_8 vs Product_1 | Winner: Product_1 | 1146.587839853022→1124.1667235118343 , 998.8509063846853→1021.2720227258728
USER User_4 | 8 vs 1 | Winner: 1 | 1045.2567777900513→1027.1787229375957 , 999.8760651949741→1017.9541200474297
GLOBAL | Product_3 vs Product_4 | Winner: Product_4 | 921.2689873408697→912.8177946004746 , 1099.2893508062346→1107.7405435466296
USER User_4 | 3 vs 4 | Winner: 4 | 950.8986088914634→939.1945371483373 , 1046.5273864129558→1058.2314581560818
GLOBAL | Product_6 vs Product_7 | Winner: Product_7 | 921.0389239449354→907.3081651386399 , 970.6493123613624→984.3800711676579
USER User_4 | 6 vs 7 | Winner: 7 | 984.0587451448032→967.4195150473307 , 970.1706476218362→986.8098777193087
GLOBAL | Product_2 vs Product_6 | Winner: Product_6 | 954.4617581869088→936.3034902357789 , 907.3081651386399→925.4664330897698
USER User_4 | 2 vs 6 | Winner: 6 | 1015.1337937216331→996.9501806072269 , 967.4195150473307→985.6031281617369
GLOBAL | Product_4 vs Product_5 | Winner: Product_5 | 1107.7405435466296→1086.4286862457488 , 987.8529211219809→1009.1647784228618
USER User_4 | 4 vs 5 | Winner: 5 | 1058.2314581560818→1039.0439724331284 , 988.0779752222826→1007.265460945236
GLOBAL | Product_6 vs Product_8 | Winner: Product_8 | 925.4664330897698→917.7345490039822 , 1124.1667235118343→1131.898607597622
USER User_4 | 6 vs 8 | Winner: 8 | 985.6031281617369→971.5086682572688 , 1027.1787229375957→1041.2731828420638
GLOBAL | Product_2 vs Product_3 | Winner: Product_2 | 936.3034902357789→951.2235783279145 , 912.8177946004746→897.897706508339
USER User_4 | 2 vs 3 | Winner: 2 | 996.9501806072269→1010.3146667294535 , 939.1945371483373→925.8300510261107
GLOBAL | Product_1 vs Product_2 | Winner: Product_1 | 1021.2720227258728→1034.0891825081665 , 951.2235783279145→938.4064185456209
